time,index,start,end
0,27,0,90
5,27,0,90
10,26,9,99
10,27,0,90
15,26,9,99
15,27,0,90
20,26,9,99
20,27,0,90
25,26,9,99
25,27,0,90
30,26,9,99
30,27,0,90
35,26,9,99
35,27,0,90
40,26,9,99
40,27,0,90
45,26,9,99
45,27,0,90
50,26,9,99
50,27,0,90
55,3,54,114
55,26,9,99
55,27,0,90
60,3,54,114
60,26,9,99
60,27,0,90
65,0,63,123
65,3,54,114
65,26,9,99
65,27,0,90
70,0,63,123
70,3,54,114
70,26,9,99
70,27,0,90
75,0,63,123
75,1,73,133
75,3,54,114
75,26,9,99
75,27,0,90
80,0,63,123
80,1,73,133
80,2,78,138
80,3,54,114
80,26,9,99
80,27,0,90
85,0,63,123
85,1,73,133
85,2,78,138
85,3,54,114
85,26,9,99
85,27,0,90
90,0,63,123
90,1,73,133
90,2,78,138
90,3,54,114
90,26,9,99
95,0,63,123
95,1,73,133
95,2,78,138
95,3,54,114
95,26,9,99
100,0,63,123
100,1,73,133
100,2,78,138
100,3,54,114
105,0,63,123
105,1,73,133
105,2,78,138
105,3,54,114
105,7,105,165
110,0,63,123
110,1,73,133
110,2,78,138
110,3,54,114
110,7,105,165
115,0,63,123
115,1,73,133
115,2,78,138
115,7,105,165
120,0,63,123
120,1,73,133
120,2,78,138
120,6,116,176
120,7,105,165
125,1,73,133
125,2,78,138
125,4,124,184
125,6,116,176
125,7,105,165
130,1,73,133
130,2,78,138
130,4,124,184
130,6,116,176
130,7,105,165
135,2,78,138
135,4,124,184
135,5,132,192
135,6,116,176
135,7,105,165
140,4,124,184
140,5,132,192
140,6,116,176
140,7,105,165
140,28,137,227
140,29,136,226
145,4,124,184
145,5,132,192
145,6,116,176
145,7,105,165
145,28,137,227
145,29,136,226
150,4,124,184
150,5,132,192
150,6,116,176
150,7,105,165
150,28,137,227
150,29,136,226
155,4,124,184
155,5,132,192
155,6,116,176
155,7,105,165
155,28,137,227
155,29,136,226
160,4,124,184
160,5,132,192
160,6,116,176
160,7,105,165
160,28,137,227
160,29,136,226
165,4,124,184
165,5,132,192
165,6,116,176
165,28,137,227
165,29,136,226
170,4,124,184
170,5,132,192
170,6,116,176
170,28,137,227
170,29,136,226
175,4,124,184
175,5,132,192
175,6,116,176
175,28,137,227
175,29,136,226
180,4,124,184
180,5,132,192
180,28,137,227
180,29,136,226
185,5,132,192
185,28,137,227
185,29,136,226
190,5,132,192
190,28,137,227
190,29,136,226
195,28,137,227
195,29,136,226
200,28,137,227
200,29,136,226
205,28,137,227
205,29,136,226
210,28,137,227
210,29,136,226
215,28,137,227
215,29,136,226
220,28,137,227
220,29,136,226
225,28,137,227
225,29,136,226
240,30,239,329
245,30,239,329
250,30,239,329
255,15,255,315
255,30,239,329
260,9,257,317
260,13,258,318
260,15,255,315
260,30,239,329
260,31,259,349
265,8,263,323
265,9,257,317
265,13,258,318
265,14,263,323
265,15,255,315
265,16,263,323
265,30,239,329
265,31,259,349
270,8,263,323
270,9,257,317
270,13,258,318
270,14,263,323
270,15,255,315
270,16,263,323
270,30,239,329
270,31,259,349
275,8,263,323
275,9,257,317
275,10,272,332
275,11,274,334
275,13,258,318
275,14,263,323
275,15,255,315
275,16,263,323
275,30,239,329
275,31,259,349
280,8,263,323
280,9,257,317
280,10,272,332
280,11,274,334
280,12,278,338
280,13,258,318
280,14,263,323
280,15,255,315
280,16,263,323
280,30,239,329
280,31,259,349
285,8,263,323
285,9,257,317
285,10,272,332
285,11,274,334
285,12,278,338
285,13,258,318
285,14,263,323
285,15,255,315
285,16,263,323
285,30,239,329
285,31,259,349
290,8,263,323
290,9,257,317
290,10,272,332
290,11,274,334
290,12,278,338
290,13,258,318
290,14,263,323
290,15,255,315
290,16,263,323
290,30,239,329
290,31,259,349
295,8,263,323
295,9,257,317
295,10,272,332
295,11,274,334
295,12,278,338
295,13,258,318
295,14,263,323
295,15,255,315
295,16,263,323
295,30,239,329
295,31,259,349
300,8,263,323
300,9,257,317
300,10,272,332
300,11,274,334
300,12,278,338
300,13,258,318
300,14,263,323
300,15,255,315
300,16,263,323
300,30,239,329
300,31,259,349
305,8,263,323
305,9,257,317
305,10,272,332
305,11,274,334
305,12,278,338
305,13,258,318
305,14,263,323
305,15,255,315
305,16,263,323
305,30,239,329
305,31,259,349
310,8,263,323
310,9,257,317
310,10,272,332
310,11,274,334
310,12,278,338
310,13,258,318
310,14,263,323
310,15,255,315
310,16,263,323
310,30,239,329
310,31,259,349
315,8,263,323
315,9,257,317
315,10,272,332
315,11,274,334
315,12,278,338
315,13,258,318
315,14,263,323
315,16,263,323
315,30,239,329
315,31,259,349
320,8,263,323
320,10,272,332
320,11,274,334
320,12,278,338
320,14,263,323
320,16,263,323
320,22,316,376
320,30,239,329
320,31,259,349
325,10,272,332
325,11,274,334
325,12,278,338
325,21,322,382
325,22,316,376
325,30,239,329
325,31,259,349
330,10,272,332
330,11,274,334
330,12,278,338
330,21,322,382
330,22,316,376
330,31,259,349
335,12,278,338
335,17,334,394
335,18,333,393
335,21,322,382
335,22,316,376
335,24,331,391
335,31,259,349
340,17,334,394
340,18,333,393
340,21,322,382
340,22,316,376
340,24,331,391
340,31,259,349
345,17,334,394
345,18,333,393
345,19,344,404
345,21,322,382
345,22,316,376
345,23,341,401
345,24,331,391
345,31,259,349
350,17,334,394
350,18,333,393
350,19,344,404
350,20,348,408
350,21,322,382
350,22,316,376
350,23,341,401
350,24,331,391
350,25,350,410
355,17,334,394
355,18,333,393
355,19,344,404
355,20,348,408
355,21,322,382
355,22,316,376
355,23,341,401
355,24,331,391
355,25,350,410
360,17,334,394
360,18,333,393
360,19,344,404
360,20,348,408
360,21,322,382
360,22,316,376
360,23,341,401
360,24,331,391
360,25,350,410
360,33,357,447
365,17,334,394
365,18,333,393
365,19,344,404
365,20,348,408
365,21,322,382
365,22,316,376
365,23,341,401
365,24,331,391
