timestamp,state
0,"[np.int64(540), 2, 0, 0, 0, 0, 0]"
5,"[np.int64(535), 2, 0, 0, 0, 0, 0]"
10,"[np.int64(530), 2, 0, 0, 0, 0, 0]"
15,"[np.int64(525), 2, 0, 0, 0, 0, 0]"
20,"[np.int64(520), 2, 0, 0, 0, 0, 0]"
25,"[np.int64(515), 2, 0, 0, 0, 0, 0]"
30,"[np.int64(510), 2, 0, 0, 0, 0, 0]"
35,"[np.int64(505), 2, 0, 1, 0, 0, 0]"
40,"[np.int64(500), 2, 0, 1, 0, 0, 0]"
45,"[np.int64(495), 3, 0, 1, 0, 0, 0]"
50,"[np.int64(490), 3, 0, 2, 0, 0, 0]"
55,"[np.int64(485), 4, 0, 2, 0, 0, 0]"
60,"[np.int64(480), 5, 0, 1, 1, 0, 0]"
65,"[np.int64(475), 6, 0, 0, 1, 0, 0]"
70,"[np.int64(470), 6, 0, 0, 1, 0, 0]"
75,"[np.int64(465), 6, 0, 0, 0, 1, np.float64(-7.054447172994259)]"
80,"[np.int64(460), 6, 0, -2, 0, 1, np.float64(-12.054447172994259)]"
85,"[np.int64(455), 6, 0, -2, 0, 1, np.float64(-17.05444717299426)]"
90,"[np.int64(450), 4, 0, 1, 0, 1, np.float64(-22.05444717299426)]"
95,"[np.int64(445), 4, 0, 0, 0, 1, np.float64(-27.05444717299426)]"
100,"[np.int64(440), 5, 0, 1, 0, 1, np.float64(-32.05444717299426)]"
105,"[np.int64(435), 4, 0, 1, 0, 1, np.float64(-37.05444717299426)]"
110,"[np.int64(430), 6, 0, -2, 0, 1, np.float64(-42.05444717299426)]"
115,"[np.int64(425), 5, 0, 0, 0, 1, np.float64(-47.05444717299426)]"
120,"[np.int64(420), 4, 0, 2, 0, 1, np.float64(-52.05444717299426)]"
125,"[np.int64(415), 5, 0, 1, 0, 1, np.float64(-57.05444717299426)]"
130,"[np.int64(410), 6, 0, 0, 0, 1, np.float64(-62.05444717299426)]"
135,"[np.int64(405), 6, 0, 0, 0, 1, np.float64(-67.05444717299426)]"
140,"[np.int64(400), 6, 0, 0, 0, 1, np.float64(-72.05444717299426)]"
145,"[np.int64(395), 6, 0, 0, 0, 1, np.float64(-77.05444717299426)]"
150,"[np.int64(390), 6, 0, -1, 0, 1, np.float64(-82.05444717299426)]"
155,"[np.int64(385), 6, 0, -1, 0, 1, np.float64(-87.05444717299426)]"
160,"[np.int64(380), 5, 0, -1, 0, 1, np.float64(-92.05444717299426)]"
165,"[np.int64(375), 5, 0, -1, 0, 1, np.float64(-97.05444717299426)]"
170,"[np.int64(370), 4, 0, 0, 0, 1, np.float64(-102.05444717299426)]"
175,"[np.int64(365), 4, 0, -1, 0, 1, np.float64(-107.05444717299426)]"
180,"[np.int64(360), 4, 0, -2, 0, 1, np.float64(-112.05444717299426)]"
185,"[np.int64(355), 3, 0, -1, 0, 1, np.float64(-117.05444717299426)]"
190,"[np.int64(350), 2, 0, -1, 0, 1, np.float64(-122.05444717299426)]"
195,"[np.int64(345), 2, 0, -1, 0, 1, np.float64(-127.05444717299426)]"
200,"[np.int64(340), 1, 0, 0, 0, 1, np.float64(-132.05444717299426)]"
205,"[np.int64(335), 1, 0, -1, 0, 1, np.float64(-137.05444717299426)]"
210,"[np.int64(330), 1, 0, -1, 0, 1, np.float64(-142.05444717299426)]"
215,"[np.int64(325), 0, 0, 0, 0, 1, np.float64(-147.05444717299426)]"
220,"[np.int64(320), 0, 0, 0, 0, 1, np.float64(-152.05444717299426)]"
225,"[np.int64(315), 0, 1, 0, 1, 1, np.float64(-157.05444717299426)]"
230,"[np.int64(310), 0, 1, 1, 1, 1, np.float64(-162.05444717299426)]"
235,"[np.int64(305), 0, 1, 1, 1, 2, np.float64(-86.1364926572755)]"
240,"[np.int64(300), 1, 1, 2, 0, 2, np.float64(-91.1364926572755)]"
245,"[np.int64(295), 1, 1, 3, 0, 2, np.float64(-96.1364926572755)]"
250,"[np.int64(290), 3, 1, 1, 0, 2, np.float64(-101.1364926572755)]"
255,"[np.int64(285), 4, 1, 0, 0, 2, np.float64(-106.1364926572755)]"
260,"[np.int64(280), 4, 1, 2, 0, 2, np.float64(-111.1364926572755)]"
265,"[np.int64(275), 4, 0, 3, 0, 2, np.float64(-116.1364926572755)]"
270,"[np.int64(270), 6, 0, 3, 1, 2, np.float64(-121.1364926572755)]"
275,"[np.int64(265), 7, 0, 3, 1, 2, np.float64(-126.1364926572755)]"
280,"[np.int64(260), 9, 0, 2, 1, 3, np.float64(-88.9996526656311)]"
285,"[np.int64(255), 10, 0, 1, 0, 3, np.float64(-93.9996526656311)]"
290,"[np.int64(250), 11, 0, 0, 0, 3, np.float64(-98.9996526656311)]"
295,"[np.int64(245), 11, 0, 0, 0, 3, np.float64(-103.9996526656311)]"
300,"[np.int64(240), 11, 0, 0, 0, 3, np.float64(-108.9996526656311)]"
305,"[np.int64(235), 11, 0, -1, 0, 3, np.float64(-113.9996526656311)]"
310,"[np.int64(230), 11, 0, 0, 0, 3, np.float64(-118.9996526656311)]"
315,"[np.int64(225), 10, 0, 2, 0, 3, np.float64(-123.9996526656311)]"
320,"[np.int64(220), 11, 0, -1, 0, 3, np.float64(-128.9996526656311)]"
325,"[np.int64(215), 12, 0, 0, 0, 3, np.float64(-133.99965266563112)]"
330,"[np.int64(210), 10, 0, 0, 0, 3, np.float64(-138.99965266563112)]"
335,"[np.int64(205), 12, 0, -2, 0, 3, np.float64(-143.99965266563112)]"
340,"[np.int64(200), 10, 0, -1, 0, 3, np.float64(-148.99965266563112)]"
345,"[np.int64(195), 10, 0, -1, 0, 3, np.float64(-153.99965266563112)]"
350,"[np.int64(190), 9, 0, 0, 0, 3, np.float64(-158.99965266563112)]"
355,"[np.int64(185), 9, 0, 1, 1, 3, np.float64(-163.99965266563112)]"
360,"[np.int64(180), 9, 0, 1, 1, 3, np.float64(-168.99965266563112)]"
365,"[np.int64(175), 10, 0, 0, 1, 3, np.float64(-173.9996526656311)]"
370,"[np.int64(170), 10, 0, -1, 0, 4, np.float64(-136.44653661596692)]"
375,"[np.int64(165), 10, 0, -2, 1, 4, np.float64(-141.44653661596692)]"
380,"[np.int64(160), 9, 0, -2, 2, 4, np.float64(-146.44653661596692)]"
385,"[np.int64(155), 8, 0, -4, 3, 4, np.float64(-151.44653661596692)]"
390,"[np.int64(150), 7, 0, -4, 2, 6, np.float64(-106.48471404872946)]"
395,"[np.int64(145), 4, 0, -2, 1, 6, np.float64(-111.48471404872946)]"
400,"[np.int64(140), 3, 0, -1, 0, 7, np.float64(-101.075078928222)]"
405,"[np.int64(135), 2, 0, 0, 0, 7, np.float64(-106.075078928222)]"
410,"[np.int64(130), 2, 0, 0, 0, 7, np.float64(-111.075078928222)]"
415,"[np.int64(125), 2, 0, 0, 0, 7, np.float64(-116.075078928222)]"
420,"[np.int64(120), 2, 0, 0, 2, 7, np.float64(-121.075078928222)]"
425,"[np.int64(115), 2, 0, 0, 2, 7, np.float64(-126.075078928222)]"
430,"[np.int64(110), 2, 1, 0, 3, 8, np.float64(-115.48802063835319)]"
435,"[np.int64(105), 2, 1, 0, 1, 9, np.float64(-107.99243267125033)]"
440,"[np.int64(100), 2, 1, 0, 1, 9, np.float64(-112.99243267125033)]"
445,"[np.int64(95), 2, 2, -1, 1, 10, np.float64(-106.99891373577711)]"
450,"[np.int64(90), 2, 2, -2, 1, 10, np.float64(-111.99891373577711)]"
